col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
2,Milo’s Hamburgers,$,"['Burgers', 'Fast Food', 'American (Traditional)']",['(205) 608-0050'],(205) 608-0050,604 Fieldstown Rd,/biz/milos-hamburgers-gardendale?osq=restaurants,Gardendale,AL,35071
3,Our Place,$,"['Breakfast & Brunch', 'Sandwiches']",['(205) 608-1030'],(205) 608-1030,1218 Main St,/biz/our-place-gardendale?osq=restaurants,Gardendale,AL,35071
4,Habaneros Mexican Grill,$,['Mexican'],['(205) 608-2168'],(205) 608-2168,835 Odum Rd,/biz/habaneros-mexican-grill-gardendale?osq=restaurants,Gardendale,AL,35071
5,Chick-fil-A,$,['Fast Food'],['(205) 608-3488'],(205) 608-3488,385 Fieldstown Rd,/biz/chick-fil-a-gardendale?osq=restaurants,Gardendale,AL,35071
6,Zaxby’s Chicken Fingers & Buffalo Wings,$,"['Fast Food', 'Chicken Wings', 'Salad']",['(205) 631-0819'],(205) 631-0819,885 Odum Rd,/biz/zaxbys-chicken-fingers-and-buffalo-wings-gardendale?osq=restaurants,Gardendale,AL,35071
7,Waffle House,$,"['Breakfast & Brunch', 'Diners', 'American (Traditional)']",['(205) 631-5935'],(205) 631-5935,500 Fieldstown Rd,/biz/waffle-house-gardendale?osq=restaurants,Gardendale,AL,35071
8,Pizza Hut,$,"['Pizza', 'Italian', 'Chicken Wings']",['(205) 631-3466'],(205) 631-3466,596 Fieldstown Rd,/biz/pizza-hut-gardendale-2?osq=restaurants,Gardendale,AL,35071
9,Hamburger Heaven,$,"['Hot Dogs', 'Burgers', 'Breakfast & Brunch']",['(205) 631-1339'],(205) 631-1339,1301 Decatur Hwy,/biz/hamburger-heaven-gardendale?osq=restaurants,Gardendale,AL,35071
10,Sneaky Pete’s Hot Dogs,$,['Hot Dogs'],['(205) 631-2259'],(205) 631-2259,439 Fieldstown Rd,/biz/sneaky-petes-hot-dogs-gardendale?osq=restaurants,Gardendale,AL,35071
11,Jack’s,$,['Burgers'],['(205) 608-2092'],(205) 608-2092,2259 Mount Olive Rd,/biz/jacks-gardendale?osq=restaurants,Gardendale,AL,35071
12,TP’s Bar & Grill,$,"['Music Venues', 'Bars', 'American (Traditional)']",['(205) 647-0904'],(205) 647-0904,9394 Peterson Dr,/biz/tps-bar-and-grill-kimberly?osq=restaurants,Gardendale,AL,35071
13,Captain D’s - Temporarily Closed,$,"['Seafood', 'Fast Food', 'American (Traditional)']",['(205) 631-5925'],(205) 631-5925,1284 Decatur Hwy,/biz/captain-ds-temporarily-closed-gardendale-2?osq=restaurants,Gardendale,AL,35071
14,Wendy’s,$,"['Burgers', 'Fast Food']",['(205) 631-6220'],(205) 631-6220,1009 Fulton Ave,/biz/wendys-gardendale?osq=restaurants,Gardendale,AL,35071
1,Cracker Barrel Old Country Store,$$,"['Breakfast & Brunch', 'American (Traditional)', 'Southern']",['(205) 631-8011'],(205) 631-8011,901 Fieldstown Rd,/biz/cracker-barrel-old-country-store-gardendale?osq=restaurants,Gardendale,AL,35071
2,Jim ‘N Nick’s Bar-B-Q,$$,"['Barbeque', 'Southern', 'Sandwiches']",['(205) 598-6428'],(205) 598-6428,915 Odum Rd,/biz/jim-n-nicks-bar-b-q-gardendale?osq=restaurants,Gardendale,AL,35071
3,Red Mountain Crawfish,$$,"['Seafood', 'Food Trucks']",['(205) 490-3219'],(205) 490-3219,Serving Birmingham and the Surrounding Area,/biz/red-mountain-crawfish-birmingham-2?osq=restaurants,Gardendale,AL,35071
4,Lazy Boy BBQ,$$,"['Barbeque', 'Caterers', 'Food Trucks']",['(205) 624-2474'],(205) 624-2474,Serving Alabaster and the Surrounding Area,/biz/lazy-boy-bbq-alabaster-2?osq=restaurants,Gardendale,AL,35071
5,Buffalo Wild Wings,$$,"['Chicken Wings', 'Sports Bars', 'American (Traditional)']",['(205) 631-7646'],(205) 631-7646,2505 Caufield Drive,/biz/buffalo-wild-wings-gardendale?osq=restaurants,Gardendale,AL,35071
6,Shrimp Basket,$$,['Seafood'],['(205) 694-0280'],(205) 694-0280,550 Fieldstown Rd,/biz/shrimp-basket-gardendale?osq=restaurants,Gardendale,AL,35071
7,Kumo Sushi & Asian,$$,"['Sushi Bars', 'Asian Fusion']",['(205) 285-5250'],(205) 285-5250,835 Odum Rd,/biz/kumo-sushi-and-asian-gardendale?osq=restaurants,Gardendale,AL,35071
8,Panera Bread,$$,"['Salad', 'Soup', 'Sandwiches']",['(205) 631-3491'],(205) 631-3491,521 Fieldstown Rd,/biz/panera-bread-gardendale?osq=restaurants,Gardendale,AL,35071
9,Sushi Village,$$,"['Japanese', 'Sushi Bars']",['(205) 285-8556'],(205) 285-8556,592 Fieldstown Rd,/biz/sushi-village-gardendale?osq=restaurants,Gardendale,AL,35071
10,Baja California Cantina and Grill,$$,['Mexican'],['(205) 285-8881'],(205) 285-8881,961 Main St,/biz/baja-california-cantina-and-grill-gardendale?osq=restaurants,Gardendale,AL,35071
11,Mings Garden,$$,['Chinese'],['(205) 631-7746'],(205) 631-7746,1046 Main St,/biz/mings-garden-gardendale?osq=restaurants,Gardendale,AL,35071
12,Saw’s Street Kitchen,$$,"['Food Trucks', 'Comfort Food', 'Barbeque']",['(205) 532-0021'],(205) 532-0021,Serving Birmingham and the Surrounding Area,/biz/saws-street-kitchen-birmingham-2?osq=restaurants,Gardendale,AL,35071
13,Pasquale’s Pizza & Pasta,$$,['Pizza'],['(205) 631-5972'],(205) 631-5972,215 Fieldstown Rd,/biz/pasquales-pizza-and-pasta-gardendale?osq=restaurants,Gardendale,AL,35071
1,America’s Thrift Store,$,['Thrift Stores'],['(205) 631-1238'],(205) 631-1238,1315 Decatur Hwy,/biz/americas-thrift-store-gardendale?osq=shopping,Gardendale,AL,35071
2,Dollar General Store,$,['Department Stores'],['(205) 590-0092'],(205) 590-0092,415 Old Hwy 31 N,/biz/dollar-general-store-warrior?osq=shopping,Gardendale,AL,35071
3,Mt Olive Chevron,$,['Convenience Stores'],['(205) 631-3434'],(205) 631-3434,2251 Mount Olive Rd,/biz/mt-olive-chevron-mount-olive?osq=shopping,Gardendale,AL,35071
4,Jeff Dennis Jewelers,$,['Jewelry'],['(205) 631-4848'],(205) 631-4848,300 Fieldstown Rd,/biz/jeff-dennis-jewelers-gardendale?osq=shopping,Gardendale,AL,35071
1,Publix Supermarket,$$,['Grocery'],655 Fieldstown Rd,"Gardendale, AL 35071",(205) 608-4677,/biz/publix-supermarket-gardendale?osq=shopping,Gardendale,AL,35071
2,Gardendale Flea Mall & Antique Center,$$,"['Antiques', 'Discount Store', 'Flea Markets']",2405 Decatur Hwy,"Gardendale, AL 35071",(205) 631-7451,/biz/gardendale-flea-mall-and-antique-center-gardendale?osq=shopping,Gardendale,AL,35071
3,Walmart Supercenter,$$,"['Department Stores', 'Grocery']",890 Odum Rd,"Gardendale, AL 35071",(205) 631-8110,/biz/walmart-supercenter-gardendale?osq=shopping,Gardendale,AL,35071
3,Walmart Supercenter,$$,"['Department Stores', 'Grocery']",890 Odum Rd,"Gardendale, AL 35071",(205) 631-8110,/biz/smartstyle-gardendale,Gardendale,AL,35071
4,TJ Maxx,$$,"[""Women's Clothing"", ""Men's Clothing"", 'Accessories']",655 Fieldstown Rd,"Gardendale, AL 35071",(205) 631-9039,/biz/tj-maxx-gardendale-2?osq=shopping,Gardendale,AL,35071
5,Hobby Lobby,$$,"['Arts & Crafts', 'Hobby Shops', 'Home Decor']",655 Fieldstown Rd,"Gardendale, AL 35071",(205) 631-9722,/biz/hobby-lobby-gardendale?osq=shopping,Gardendale,AL,35071
6,Goody’s,$$,['Department Stores'],1022 Main St,"Gardendale, AL 35071",(205) 631-9004,/biz/goodys-gardendale?osq=shopping,Gardendale,AL,35071
7,Top Games,$$,['Hobby Shops'],1058 Main St,"Gardendale, AL 35071",(205) 285-8500,/biz/top-games-gardendale?osq=shopping,Gardendale,AL,35071
8,Cato,$$,"['Accessories', ""Women's Clothing"", 'Shoe Stores']",655 Fieldstown Rd,"Gardendale, AL 35071",(205) 631-5048,/biz/cato-gardendale?osq=shopping,Gardendale,AL,35071
9,Walgreens,$$,"['Drugstores', 'Cosmetics & Beauty Supply', 'Convenience Stores']",100 Fieldstown Rd,"Gardendale, AL 35071",(205) 631-1373,/biz/walgreens-gardendale?osq=shopping,Gardendale,AL,35071
10,Fieldstown Shell,$$,"['Gas Stations', 'Convenience Stores']",930 Fieldstown Rd,"Gardendale, AL 35071",(205) 608-3300,/biz/fieldstown-shell-gardendale?osq=shopping,Gardendale,AL,35071
1,Mdm Design Studio,$$$,"['Home Decor', 'Cabinetry']",,Serving Birmingham and the Surrounding Area,(205) 266-3905,/biz/mdm-design-studio-birmingham?osq=shopping,Gardendale,AL,35071
1,Gadget Geeks,$,"['Mobile Phone Repair', 'Mobile Phone Accessories']",,Serving Birmingham and the Surrounding Area,(205) 203-2003,/biz/gadget-geeks-birmingham-2?osq=localservices,Gardendale,AL,35071
2,Zippy’s Errand Services,$,"['Couriers & Delivery Services', 'Food Delivery Services']",,"Tuscaloosa, AL 35401",(205) 246-5688,/biz/zippys-errand-services-tuscaloosa?osq=localservices,Gardendale,AL,35071
1,uBreakiFix,$$,"['Electronics Repair', 'Mobile Phones', 'Mobile Phone Repair']",,Serving Birmingham and the Surrounding Area,(205) 402-9592,/biz/ubreakifix-birmingham-2?osq=localservices,Gardendale,AL,35071
2,Westwood Appliances,$$,"['Appliances & Repair', 'Appliances']",,Serving Birmingham and the Surrounding Area,(205) 798-5231,/biz/westwood-appliances-birmingham?osq=localservices,Gardendale,AL,35071
1,Nilipour Oriental Rugs,$$$,"['Carpet Cleaning', 'Rugs']",['(205) 870-4444'],(205) 870-4444,Serving Birmingham and the Surrounding Area,/biz/nilipour-oriental-rugs-birmingham?osq=localservices,Gardendale,AL,35071
