col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
15,Mr Chen’s,$,"['Chinese', 'Grocery', 'Seafood Markets']",['(205) 942-5000'],(205) 942-5000,808 Green Springs Hwy,/biz/mr-chens-homewood?osq=restaurants,Mountain Brook,AL,35210,
16,Edgar’s Bakery and Cafe,$,"['Bakeries', 'Cafes']",['(205) 968-4031'],(205) 968-4031,3407 Colonnade Pkwy,/biz/edgars-bakery-and-cafe-birmingham?osq=restaurants,Mountain Brook,AL,35210,
17,The Garage Cafe,$,"['Sandwiches', 'Dive Bars']",['(205) 322-3220'],(205) 322-3220,2304 10th Ter S,/biz/the-garage-cafe-birmingham?osq=restaurants,Mountain Brook,AL,35210,
18,Los Dos Hermanos Taco Truck,$,"['Mexican', 'Food Trucks']",,215 W Valley Ave,,/biz/los-dos-hermanos-taco-truck-birmingham?osq=restaurants,Mountain Brook,AL,35210,
19,Pho Que Huong Vietnamese Restaurant,$,['Vietnamese'],['(205) 942-5400'],(205) 942-5400,430 Green Springs Hwy,/biz/pho-que-huong-vietnamese-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
20,Church Street Coffee and Books,$,"['Coffee & Tea', 'Bookstores', 'Gluten-Free']",['(205) 870-1117'],(205) 870-1117,81 Church St,/biz/church-street-coffee-and-books-birmingham?osq=restaurants,Mountain Brook,AL,35210,
21,Taco Mama,$,"['Mexican', 'Salad']",['(205) 977-7792'],(205) 977-7792,327 Summit Blvd,/biz/taco-mama-birmingham?osq=restaurants,Mountain Brook,AL,35210,
22,Irondale Cafe,$,['Cafes'],['(205) 956-5258'],(205) 956-5258,1906 1st Ave N,/biz/irondale-cafe-irondale?osq=restaurants,Mountain Brook,AL,35210,
23,Falafel cafe,$,"['Falafel', 'Halal', 'Vegan']",['(205) 868-3999'],(205) 868-3999,401 19th St S,/biz/falafel-cafe-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
24,O’Henry’s Coffees,$,"['Coffee & Tea', 'Breakfast & Brunch', 'Desserts']",['(205) 870-1198'],(205) 870-1198,2831 18th St S,/biz/o-henrys-coffees-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
25,Demetri’s BBQ,$,"['Barbeque', 'Breakfast & Brunch']",['(205) 871-1581'],(205) 871-1581,1901 28th Ave S,/biz/demetris-bbq-birmingham?osq=restaurants,Mountain Brook,AL,35210,
26,Bogue’s,$,['American (Traditional)'],['(205) 254-9780'],(205) 254-9780,3028 Clairmont Ave S,/biz/bogues-birmingham?osq=restaurants,Mountain Brook,AL,35210,
27,Mr P’s Butcher Shop & Deli,$,"['Meat Shops', 'Delis']",['(205) 823-6136'],(205) 823-6136,813 Shades Crest Rd,/biz/mr-ps-butcher-shop-and-deli-birmingham?osq=restaurants,Mountain Brook,AL,35210,
28,Tip Top Grill,$,"['Breakfast & Brunch', 'Burgers', 'Hot Dogs']",['(205) 978-8677'],(205) 978-8677,588 Shades Crest Rd,/biz/tip-top-grill-hoover?osq=restaurants,Mountain Brook,AL,35210,
29,Taco Casa,$,['Mexican'],['(205) 940-1196'],(205) 940-1196,125 Wildwood Pkwy,/biz/taco-casa-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
30,Hot Diggity Dogs,$,['Hot Dogs'],['(205) 202-2363'],(205) 202-2363,430 41st St S,/biz/hot-diggity-dogs-birmingham?osq=restaurants,Mountain Brook,AL,35210,
31,Birmingham Breadworks,$,"['Bakeries', 'Sandwiches', 'Salad']",['(205) 933-7517'],(205) 933-7517,2408 7th Ave S,/biz/birmingham-breadworks-birmingham?osq=restaurants,Mountain Brook,AL,35210,
32,Pieology Pizzeria,$,['Pizza'],['(205) 262-3022'],(205) 262-3022,325 Summit Blvd,/biz/pieology-pizzeria-birmingham?osq=restaurants,Mountain Brook,AL,35210,
33,Yum Yai Thai Takeout,$,['Thai'],['(205) 323-0030'],(205) 323-0030,2131 7th Ave S,/biz/yum-yai-thai-takeout-birmingham?osq=restaurants,Mountain Brook,AL,35210,
34,Chronic Tacos,$,"['Mexican', 'Gluten-Free', 'Tapas/Small Plates']",['(205) 967-4900'],(205) 967-4900,3066 Healthy Way,/biz/chronic-tacos-vestavia-hills?osq=restaurants,Mountain Brook,AL,35210,
35,Taco Morro Loco,$,"['Food Trucks', 'Tacos']",['(205) 203-4849'],(205) 203-4849,417 41st St S,/biz/taco-morro-loco-birmingham?osq=restaurants,Mountain Brook,AL,35210,
36,Fife’s Restaurant,$,['Breakfast & Brunch'],['(205) 254-9167'],(205) 254-9167,2321 4th Ave N,/biz/fifes-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
37,El Cazador,$,['Mexican'],['(205) 951-1205'],(205) 951-1205,1540 Montclair Rd,/biz/el-cazador-birmingham?osq=restaurants,Mountain Brook,AL,35210,
38,Lucy’s Coffee & Tea,$,"['Coffee & Tea', 'Sandwiches']",['(205) 328-2007'],(205) 328-2007,2007 University Blvd,/biz/lucys-coffee-and-tea-birmingham?osq=restaurants,Mountain Brook,AL,35210,
39,Los Amigos Mexican Restaurant,$,['Mexican'],['(205) 324-5896'],(205) 324-5896,3324 Clairmont Ave S,/biz/los-amigos-mexican-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
40,Crestwood Coffee Company,$,"['Coffee & Tea', 'Sandwiches', 'Cafes']",['(205) 595-0300'],(205) 595-0300,5512 Crestwood Blvd,/biz/crestwood-coffee-company-birmingham?osq=restaurants,Mountain Brook,AL,35210,
41,Salem’s Diner,$,"['Diners', 'Breakfast & Brunch']",['(205) 877-8797'],(205) 877-8797,2913 18th St S,/biz/salems-diner-birmingham?osq=restaurants,Mountain Brook,AL,35210,
42,Miss Dots,$,"['Southern', 'Chicken Shop', 'Comfort Food']",['(205) 739-2232'],(205) 739-2232,49 Church St,/biz/miss-dots-mountain-brook?osq=restaurants,Mountain Brook,AL,35210,
43,New China Town,$,['Chinese'],['(205) 251-2373'],(205) 251-2373,1020 20th St S,/biz/new-china-town-birmingham?osq=restaurants,Mountain Brook,AL,35210,
44,Diplomat Delicatessen & Spirits,$,"['Beer, Wine & Spirits', 'Delis', 'Sandwiches']",['(205) 979-1515'],(205) 979-1515,1425 Montgomery Hwy,/biz/diplomat-delicatessen-and-spirits-birmingham?osq=restaurants,Mountain Brook,AL,35210,
45,Kool Korner Sandwiches,$,"['Cuban', 'Sandwiches']",['(205) 822-4406'],(205) 822-4406,1360 Montgomery Hwy,/biz/kool-korner-sandwiches-vestavia-hills-2?osq=restaurants,Mountain Brook,AL,35210,
46,El Taco Loco,$,['Mexican'],['(205) 941-0108'],(205) 941-0108,702 Valley Ave,/biz/el-taco-loco-birmingham?osq=restaurants,Mountain Brook,AL,35210,
47,Kome,$,"['Sushi Bars', 'Japanese', 'Asian Fusion']",['(205) 502-7221'],(205) 502-7221,3076 John Hawkins Pkwy,/biz/kome-hoover?osq=restaurants,Mountain Brook,AL,35210,
48,Zoes Kitchen,$,"['Mediterranean', 'Greek', 'Sandwiches']",['(205) 967-5800'],(205) 967-5800,323 Summit Blvd,/biz/zoes-kitchen-birmingham-32?osq=restaurants,Mountain Brook,AL,35210,
49,Chick-fil-A,$,['Fast Food'],['(205) 930-8000'],(205) 930-8000,2000 Highland Ave S,/biz/chick-fil-a-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
50,The Purple Onion Deli & Grill,$,"['Greek', 'Mediterranean']",['(205) 941-9979'],(205) 941-9979,479 Green Springs Hwy,/biz/the-purple-onion-deli-and-grill-birmingham?osq=restaurants,Mountain Brook,AL,35210,
51,Golden Rule Barbecue Of Hoover,$,"['Barbeque', 'Southern', 'Comfort Food']",['(205) 823-7770'],(205) 823-7770,1571 Montgomery Hwy,/biz/golden-rule-barbecue-of-hoover-birmingham?osq=restaurants,Mountain Brook,AL,35210,
52,New China Buffet III,$,"['Buffets', 'Chinese']",['(205) 599-5558'],(205) 599-5558,7307 Crestwood Blvd,/biz/new-china-buffet-iii-birmingham?osq=restaurants,Mountain Brook,AL,35210,
53,Your Pie,$,"['Pizza', 'Bars', 'Italian']",['(205) 202-5598'],(205) 202-5598,2311 Richard Arrington Junior Blvd N,/biz/your-pie-birmingham?osq=restaurants,Mountain Brook,AL,35210,
54,Newk’s Eatery,$,"['Salad', 'Pizza', 'Sandwiches']",['(205) 323-0992'],(205) 323-0992,611 Richard Arrington Jr Blvd S,/biz/newks-eatery-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
55,Mr Wang’s Restaurant,$,"['Chinese', 'Buffets']",['(205) 945-9000'],(205) 945-9000,217 Lakeshore Pkwy,/biz/mr-wangs-restaurant-homewood?osq=restaurants,Mountain Brook,AL,35210,
56,Alfredo’s Pizza Cafe,$,"['Pizza', 'Italian']",['(205) 917-3737'],(205) 917-3737,803 Green Springs Hwy,/biz/alfredos-pizza-cafe-homewood?osq=restaurants,Mountain Brook,AL,35210,
57,Cracker Barrel Old Country Store,$,"['American (Traditional)', 'Breakfast & Brunch', 'Southern']",['(205) 969-1126'],(205) 969-1126,3415 Colonnade Pkwy,/biz/cracker-barrel-old-country-store-birmingham?osq=restaurants,Mountain Brook,AL,35210,
58,IronStone Pizzaworks,$,"['Pizza', 'Salad']",['(205) 582-7686'],(205) 582-7686,632 Montgomery Hwy,/biz/ironstone-pizzaworks-vestavia-hills?osq=restaurants,Mountain Brook,AL,35210,
59,Chipotle Mexican Grill,$,"['Mexican', 'Fast Food']",['(205) 982-4833'],(205) 982-4833,1759 Montgomery Hwy S,/biz/chipotle-mexican-grill-hoover?osq=restaurants,Mountain Brook,AL,35210,
60,Zoes Kitchen,$,"['Mediterranean', 'Greek', 'Sandwiches']",['(205) 870-1100'],(205) 870-1100,1830 29th Ave S,/biz/zoes-kitchen-birmingham-36?osq=restaurants,Mountain Brook,AL,35210,
1,Saw’s Soul Kitchen,$$,"['Barbeque', 'Seafood', 'Burgers']",['(205) 591-1409'],(205) 591-1409,215 41st St S,/biz/saws-soul-kitchen-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
2,El Barrio,$$,['Mexican'],['(205) 868-3737'],(205) 868-3737,2211 2nd Ave N,/biz/el-barrio-birmingham?osq=restaurants,Mountain Brook,AL,35210,
3,Saw’s BBQ,$$,['Barbeque'],['(205) 879-1937'],(205) 879-1937,1008 Oxmoor Rd,/biz/saws-bbq-homewood-2?osq=restaurants,Mountain Brook,AL,35210,
4,Carrigan’s Public House,$$,"['Cocktail Bars', 'Gastropubs', 'Pubs']",['(205) 440-2430'],(205) 440-2430,2430 Morris Ave,/biz/carrigans-public-house-birmingham?osq=restaurants,Mountain Brook,AL,35210,
5,Babalu Tapas & Tacos,$$,"['Latin American', 'Tapas Bars', 'Tacos']",['(205) 297-0200'],(205) 297-0200,2808 7th Ave S,/biz/babalu-tapas-and-tacos-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
6,Hattie B’s Hot Chicken - Bham,$$,"['Southern', 'American (Traditional)', 'Chicken Wings']",['(205) 578-6018'],(205) 578-6018,2808 7th Ave S,/biz/hattie-bs-hot-chicken-bham-birmingham?osq=restaurants,Mountain Brook,AL,35210,
7,Big Bad Breakfast,$$,['Breakfast & Brunch'],['(205) 490-7568'],(205) 490-7568,5361 Hwy 280,/biz/big-bad-breakfast-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
8,Dreamland BBQ,$$,['Barbeque'],['(205) 933-2133'],(205) 933-2133,1427 14th Ave S,/biz/dreamland-bbq-birmingham-4?osq=restaurants,Mountain Brook,AL,35210,
9,Post Office Pies,$$,['Pizza'],['(205) 599-9900'],(205) 599-9900,209 41st St,/biz/post-office-pies-birmingham?osq=restaurants,Mountain Brook,AL,35210,
10,Little Donkey,$$,"['Mexican', 'Cocktail Bars']",['(205) 703-7000'],(205) 703-7000,2821 Central Ave,/biz/little-donkey-homewood?osq=restaurants,Mountain Brook,AL,35210,
11,Jim ‘N Nick’s Bar-B-Q,$$,"['Barbeque', 'Southern', 'Sandwiches']",['(205) 506-6352'],(205) 506-6352,1908 11th Ave S,/biz/jim-n-nicks-bar-b-q-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
12,Gianmarco’s Restaurant,$$,"['Italian', 'Seafood', 'Wine Bars']",['(205) 871-9622'],(205) 871-9622,721 Broadway St,/biz/gianmarcos-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
13,Chuy’s,$$,"['Tex-Mex', 'Mexican', 'Bars']",['(205) 977-4224'],(205) 977-4224,216 Summit Blvd,/biz/chuys-birmingham?osq=restaurants,Mountain Brook,AL,35210,
14,Todd English P.U.B.,$$,"['Gastropubs', 'American (New)']",['(205) 307-3700'],(205) 307-3700,2221 Richard Arrington Jr Blvd N,/biz/todd-english-p-u-b-birmingham?osq=restaurants,Mountain Brook,AL,35210,
15,John’s City Diner,$$,"['Diners', 'American (New)', 'Desserts']",['(205) 322-6014'],(205) 322-6014,112 Richard Arrington Blvd,/biz/johns-city-diner-birmingham?osq=restaurants,Mountain Brook,AL,35210,
16,The Fish Market Restaurant,$$,['Seafood'],['(205) 322-3330'],(205) 322-3330,612 22nd St S,/biz/the-fish-market-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
17,Yo’ Mama’s,$$,"['American (New)', 'Gluten-Free', 'Comfort Food']",['(205) 957-6545'],(205) 957-6545,2328 2nd Ave N,/biz/yo-mamas-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
18,Five Bar,$$,"['Bars', 'American (Traditional)']",['(205) 868-3841'],(205) 868-3841,744 29th St S,/biz/five-bar-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
19,Chez Fonfon,$$,"['French', 'Bars']",['(205) 939-3221'],(205) 939-3221,2007 11th Ave S,/biz/chez-fonfon-birmingham?osq=restaurants,Mountain Brook,AL,35210,
20,The J Clyde,$$,"['Pubs', 'American (Traditional)', 'Breweries']",['(205) 939-1312'],(205) 939-1312,1312 Cobb Ln,/biz/the-j-clyde-birmingham?osq=restaurants,Mountain Brook,AL,35210,
21,Slice Pizza,$$,"['Pizza', 'Salad', 'Vegetarian']",['(205) 715-9300'],(205) 715-9300,725 29th St S,/biz/slice-pizza-birmingham?osq=restaurants,Mountain Brook,AL,35210,
22,Another Broken Egg Cafe,$$,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']",['(205) 871-7849'],(205) 871-7849,2418 Montevallo Rd,/biz/another-broken-egg-cafe-mountain-brook?osq=restaurants,Mountain Brook,AL,35210,
23,Melt Avondale,$$,"['American (New)', 'Burgers', 'Sandwiches']",['(205) 917-5000'],(205) 917-5000,4105 4th Ave S,/biz/melt-avondale-birmingham?osq=restaurants,Mountain Brook,AL,35210,
24,The Southern Kitchen & Bar,$$,"['Southern', 'American (New)', 'Bars']",['(205) 278-7270'],(205) 278-7270,2301 Richard Arrington Jr Blvd,/biz/the-southern-kitchen-and-bar-birmingham?osq=restaurants,Mountain Brook,AL,35210,
25,Rojo,$$,"['Bars', 'Mexican', 'Latin American']",['(205) 328-4733'],(205) 328-4733,2921 Highland Ave S,/biz/rojo-birmingham?osq=restaurants,Mountain Brook,AL,35210,
26,Paramount Bar,$$,"['Arcades', 'Sports Bars', 'American (Traditional)']",['(205) 320-2824'],(205) 320-2824,200 20th St N,/biz/paramount-bar-birmingham?osq=restaurants,Mountain Brook,AL,35210,
27,The Cheesecake Factory,$$,"['Desserts', 'American (New)']",['(205) 262-1800'],(205) 262-1800,236 Summit Blvd,/biz/the-cheesecake-factory-birmingham?osq=restaurants,Mountain Brook,AL,35210,
28,Bamboo on 2nd,$$,"['Sushi Bars', 'Asian Fusion']",['(205) 703-0551'],(205) 703-0551,2212 2nd Ave N,/biz/bamboo-on-2nd-birmingham?osq=restaurants,Mountain Brook,AL,35210,
29,Saigon Noodle House,$$,"['Vietnamese', 'Noodles']",['(205) 408-1800'],(205) 408-1800,4606 Hwy 280,/biz/saigon-noodle-house-birmingham?osq=restaurants,Mountain Brook,AL,35210,
30,Trattoria Centrale,$$,"['Breakfast & Brunch', 'Italian']",['(205) 202-5612'],(205) 202-5612,207A 20th St N,/biz/trattoria-centrale-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
31,Eli’s Jerusalem Grill,$$,"['Falafel', 'Vegan', 'Gluten-Free']",['(205) 637-3658'],(205) 637-3658,4673 Hwy 280,/biz/elis-jerusalem-grill-birmingham?osq=restaurants,Mountain Brook,AL,35210,
32,Firebirds Wood Fired Grill,$$,"['Steakhouses', 'Seafood', 'Wine Bars']",['(205) 733-2002'],(205) 733-2002,Patton Creek Shopping Ctr,/biz/firebirds-wood-fired-grill-hoover?osq=restaurants,Mountain Brook,AL,35210,
33,Jim ‘N Nick’s Bar-B-Q,$$,"['Barbeque', 'Sandwiches', 'Southern']",(205) 719-3450,Birmingham-Shuttlesworth International Airport - BHM,/biz/jim-n-nicks-bar-b-q-birmingham-4?osq=restaurants,Mountain Brook,AL,35210,,
33,Jim ‘N Nick’s Bar-B-Q,$$,"['Barbeque', 'Sandwiches', 'Southern']",(205) 719-3450,Birmingham-Shuttlesworth International Airport - BHM,/biz/birmingham-shuttlesworth-international-airport-bhm-birmingham-2,Mountain Brook,AL,35210,,
34,The Cowfish Sushi Burger Bar,$$,"['Sushi Bars', 'Burgers', 'Bars']",['(205) 967-3600'],(205) 967-3600,105 Summit Blvd,/biz/the-cowfish-sushi-burger-bar-birmingham?osq=restaurants,Mountain Brook,AL,35210,
35,Saw’s Juke Joint,$$,"['Barbeque', 'Soul Food', 'Beer Bar']",['(205) 745-3920'],(205) 745-3920,1115 Dunston Ave,/biz/saws-juke-joint-birmingham?osq=restaurants,Mountain Brook,AL,35210,
36,Okinawa Sushi & Hibachi Steak House,$$,"['Sushi Bars', 'Japanese']",['(205) 917-1111'],(205) 917-1111,148 Wildwood Pkwy,/biz/okinawa-sushi-and-hibachi-steak-house-homewood?osq=restaurants,Mountain Brook,AL,35210,
37,The Alabama Biscuit Co.,$$,"['Breakfast & Brunch', 'American (New)', 'Coffee & Tea']",['(205) 578-2553'],(205) 578-2553,4133 White Oak Dr,/biz/the-alabama-biscuit-co-birmingham?osq=restaurants,Mountain Brook,AL,35210,
38,Village Tavern,$$,"['American (New)', 'Bars', 'Steakhouses']",['(205) 970-1640'],(205) 970-1640,101 Summit Blvd,/biz/village-tavern-birmingham?osq=restaurants,Mountain Brook,AL,35210,
39,Cajun Seafood House,$$,"['Cajun/Creole', 'Seafood', 'Beer Bar']",['(205) 545-8481'],(205) 545-8481,2531 Rocky Ridge Rd,/biz/cajun-seafood-house-vestavia-hills?osq=restaurants,Mountain Brook,AL,35210,
40,Wasabi Juan’s,$$,"['Sushi Bars', 'Mexican', 'Hawaiian']",['(205) 703-8891'],(205) 703-8891,4120 3rd Ave S,/biz/wasabi-juans-birmingham?osq=restaurants,Mountain Brook,AL,35210,
41,Fancy’s on Fifth,$$,"['American (New)', 'Seafood', 'Bars']",['(205) 777-3662'],(205) 777-3662,430 41st St S,/biz/fancys-on-fifth-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
42,Seasons 52,$$,"['Seafood', 'American (New)', 'Wine Bars']",(205) 968-5152,The Summit,/biz/seasons-52-birmingham-4?osq=restaurants,Mountain Brook,AL,35210,,
42,Seasons 52,$$,"['Seafood', 'American (New)', 'Wine Bars']",(205) 968-5152,The Summit,/biz/the-summit-birmingham,Mountain Brook,AL,35210,,
43,Niki’s West Steak And Seafood Restaurant,$$,"['Southern', 'Seafood', 'Steakhouses']",['(205) 582-0943'],(205) 582-0943,233 Finley Ave W,/biz/nikis-west-steak-and-seafood-restaurant-birmingham?osq=restaurants,Mountain Brook,AL,35210,
44,Five Point Public House Oyster Bar,$$,"['American (New)', 'Seafood', 'Pubs']",['(205) 918-0726'],(205) 918-0726,1210 20th St S,/biz/five-point-public-house-oyster-bar-birmingham?osq=restaurants,Mountain Brook,AL,35210,
45,Makarios,$$,['Middle Eastern'],['(205) 731-7414'],(205) 731-7414,940 20th St S,/biz/makarios-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
46,Cantina Laredo,$$,"['Mexican', 'Breakfast & Brunch']",['(205) 502-0915'],(205) 502-0915,2301 Richard Arrington Jr Blvd,/biz/cantina-laredo-north-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
47,Jakes Soul Food Cafe,$$,"['Caribbean', 'Soul Food', 'Bars']",['(205) 438-6340'],(205) 438-6340,3075 John Hawkins Pkwy,/biz/jakes-soul-food-cafe-hoover?osq=restaurants,Mountain Brook,AL,35210,
48,Surin West,$$,"['Thai', 'Sushi Bars']",['(205) 324-1928'],(205) 324-1928,1918 11th Ave S,/biz/surin-west-birmingham?osq=restaurants,Mountain Brook,AL,35210,
49,Pies & Pints,$$,"['Pizza', 'Bars']",['(205) 716-1085'],(205) 716-1085,125 20th St S,/biz/pies-and-pints-birmingham?osq=restaurants,Mountain Brook,AL,35210,
50,Iron City Bham,$$,"['Music Venues', 'Venues & Event Spaces', 'American (New)']",['(205) 202-5483'],(205) 202-5483,513 22nd St S,/biz/iron-city-bham-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
51,Delta Blues Hot Tamales,$$,"['Cajun/Creole', 'Southern', 'Gluten-Free']",['(205) 502-7298'],(205) 502-7298,1318 Cobb Ln,/biz/delta-blues-hot-tamales-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
52,Jim ‘N Nick’s Bar-B-Q,$$,"['Barbeque', 'Southern', 'Sandwiches']",['(205) 502-4792'],(205) 502-4792,1810 Montgomery Hwy,/biz/jim-n-nicks-bar-b-q-hoover?osq=restaurants,Mountain Brook,AL,35210,
53,The Collins Bar,$$,"['Cocktail Bars', 'Lounges', 'American (Traditional)']",['(205) 323-7995'],(205) 323-7995,2125 2nd Ave N,/biz/the-collins-bar-birmingham?osq=restaurants,Mountain Brook,AL,35210,
54,The Cajun Steamer,$$,['Cajun/Creole'],['(205) 985-7785'],(205) 985-7785,180 Main St,/biz/the-cajun-steamer-hoover?osq=restaurants,Mountain Brook,AL,35210,
55,Avondale Common House,$$,"['American (New)', 'Sandwiches', 'Cocktail Bars']",['(205) 703-9895'],(205) 703-9895,4100 3rd Ave S,/biz/avondale-common-house-birmingham-5?osq=restaurants,Mountain Brook,AL,35210,
56,The Filling Station,$$,"['Pizza', 'Bars', 'Italian']",['(205) 592-3455'],(205) 592-3455,5524 Crestwood Blvd,/biz/the-filling-station-birmingham?osq=restaurants,Mountain Brook,AL,35210,
57,Cocina Superior,$$,"['Tex-Mex', 'Mexican']",['(205) 259-1980'],(205) 259-1980,587 Brookwood Village,/biz/cocina-superior-birmingham?osq=restaurants,Mountain Brook,AL,35210,
58,Over Easy,$$,"['Breakfast & Brunch', 'Sandwiches']",['(205) 639-1910'],(205) 639-1910,358 Hollywood Blvd,/biz/over-easy-birmingham?osq=restaurants,Mountain Brook,AL,35210,
59,Nori Thai and Sushi Restaurant,$$,"['Sushi Bars', 'Thai']",['(205) 970-7570'],(205) 970-7570,4704 Cahaba River Rd,/biz/nori-thai-and-sushi-restaurant-birmingham-2?osq=restaurants,Mountain Brook,AL,35210,
60,Mr. Chens Authentic Chinese Cooking,$$,"['Chinese', 'Taiwanese']",['(205) 824-8283'],(205) 824-8283,1917 Hoover Ct,/biz/mr-chens-authentic-chinese-cooking-hoover?osq=restaurants,Mountain Brook,AL,35210,
1,Pappadeaux Seafood Kitchen,$$$,"['Cajun/Creole', 'Seafood']",['(205) 582-5083'],(205) 582-5083,3500 Grandview Pkwy,/biz/pappadeaux-seafood-kitchen-birmingham?osq=restaurants,Mountain Brook,AL,35210,
2,Perry’s Steakhouse & Grille - Birmingham,$$$,"['Seafood', 'Steakhouses', 'American (Traditional)']",['(205) 968-1597'],(205) 968-1597,4 Perimeter Park S,/biz/perrys-steakhouse-and-grille-birmingham-birmingham?osq=restaurants,Mountain Brook,AL,35210,
3,Highlands Bar & Grill,$$$,"['Southern', 'Bars']",['(205) 939-1400'],(205) 939-1400,2011 11th Ave S,/biz/highlands-bar-and-grill-birmingham?osq=restaurants,Mountain Brook,AL,35210,
4,Hot and Hot Fish Club,$$$,"['Bars', 'Southern', 'French']",['(205) 933-5474'],(205) 933-5474,2180 11th Ct S,/biz/hot-and-hot-fish-club-birmingham?osq=restaurants,Mountain Brook,AL,35210,
